 mode  Re(lambda)  Im(lambda)  |Im(lambda)|  |lambda|
    0   -0.000000    0.000000      0.000000  0.000000
    1   -0.026161    0.000000      0.000000  0.026161
    2   -0.040784   -0.963065      0.963065  0.963928
    3   -0.040784    0.963065      0.963065  0.963928
    4   -0.077865   -0.000000      0.000000  0.077865
    5   -0.092536   -0.965365      0.965365  0.969790
    6   -0.092536    0.965365      0.965365  0.969790
    7   -0.136337   -1.932598      1.932598  1.937401
    8   -0.136337    1.932598      1.932598  1.937401
    9   -0.155138    0.000000      0.000000  0.155138
   10   -0.169584   -0.968700      0.968700  0.983432
   11   -0.169584    0.968700      0.968700  0.983432
   12   -0.212737   -1.939155      1.939155  1.950789
   13   -0.212737    1.939155      1.939155  1.950789
   14   -0.257531    0.000000      0.000000  0.257531
   15   -0.271667   -0.972991      0.972991  1.010205
   16   -0.271667    0.972991      0.972991  1.010205
   17   -0.284070   -2.913002      2.913002  2.926821
   18   -0.284070    2.913002      2.913002  2.926821
   19   -0.313921   -1.947584      1.947584  1.972722
   20   -0.313921    1.947584      1.947584  1.972722
   21   -0.383843   -2.925288      2.925288  2.950363
   22   -0.383843    2.925288      2.925288  2.950363
   23   -0.384535   -0.000000      0.000000  0.384535
   24   -0.398311   -0.978133      0.978133  1.056123
   25   -0.398311    0.978133      0.978133  1.056123
   26   -0.439513   -1.957698      1.957698  2.006428
   27   -0.439513    1.957698      1.957698  2.006428
   28   -0.480744   -3.907440      3.907440  3.936903
   29   -0.480744    3.907440      3.907440  3.936903
   30   -0.507772   -2.940058      2.940058  2.983584
   31   -0.507772    2.940058      2.940058  2.983584
   32   -0.535579    0.000000      0.000000  0.535579
   33   -0.548964   -0.984011      0.984011  1.126783
   34   -0.548964    0.984011      0.984011  1.126783
   35   -0.589018   -1.969282      1.969282  2.055484
   36   -0.589018    1.969282      1.969282  2.055484
   37   -0.602515   -3.926445      3.926445  3.972404
   38   -0.602515    3.926445      3.926445  3.972404
   39   -0.655451   -2.957023      2.957023  3.028795
   40   -0.655451    2.957023      2.957023  3.028795
   41   -0.710045    0.000000      0.000000  0.710045
   42   -0.723019   -4.917927      4.917927  4.970791
   43   -0.723019    4.917927      4.917927  4.970791
   44   -0.723023   -0.990512      0.990512  1.226327
