mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
0,-0.0,0.0,0.0,0.0
1,-2.183341,0.0,0.0,2.183341
2,-2.187829,0.0,0.0,2.187829
3,-2.252419,0.0,0.0,2.252419
4,-2.25754,-0.0,0.0,2.25754
5,-3.44729,-0.0,0.0,3.44729
6,-3.463546,-0.0,0.0,3.463546
7,-3.823885,-0.0,0.0,3.823885
8,-4.141134,-0.0,0.0,4.141134
9,-4.180067,0.0,0.0,4.180067
10,-4.218064,0.0,0.0,4.218064
11,-4.314924,-0.49174,0.49174,4.342854
12,-4.314924,0.49174,0.49174,4.342854
13,-4.898024,-0.0,0.0,4.898024
14,-5.064726,-0.712398,0.712398,5.114583
15,-5.064726,0.712398,0.712398,5.114583
16,-5.270488,-0.0,0.0,5.270488
17,-5.380518,-0.0,0.0,5.380518
18,-5.540302,0.0,0.0,5.540302
19,-5.69286,-1.235257,1.235257,5.825334
20,-5.69286,1.235257,1.235257,5.825334
21,-5.842821,-0.950673,0.950673,5.919657
22,-5.842821,0.950673,0.950673,5.919657
23,-6.319925,0.0,0.0,6.319925
24,-6.359263,-1.718677,1.718677,6.587419
25,-6.359263,1.718677,1.718677,6.587419
26,-6.47348,-0.0,0.0,6.47348
27,-6.667919,-1.138809,1.138809,6.764468
28,-6.667919,1.138809,1.138809,6.764468
29,-6.919162,-0.188477,0.188477,6.921729
30,-6.919162,0.188477,0.188477,6.921729
31,-7.222551,-2.106824,2.106824,7.523559
32,-7.222551,2.106824,2.106824,7.523559
33,-7.318342,-2.453018,2.453018,7.718512
34,-7.318342,2.453018,2.453018,7.718512
35,-7.615931,-1.357541,1.357541,7.735976
36,-7.615931,1.357541,1.357541,7.735976
37,-7.765346,-0.0,0.0,7.765346
38,-7.969867,-2.958605,2.958605,8.501302
39,-7.969867,2.958605,2.958605,8.501302
40,-8.093244,-0.552424,0.552424,8.112076
41,-8.093244,0.552424,0.552424,8.112076
42,-8.181716,-2.390009,2.390009,8.523651
43,-8.181716,2.390009,2.390009,8.523651
44,-8.674892,-1.577141,1.577141,8.817093
45,-8.674892,1.577141,1.577141,8.817093
46,-8.855311,-3.417778,3.417778,9.491983
47,-8.855311,3.417778,3.417778,9.491983
48,-9.058676,-3.938054,3.938054,9.877645
49,-9.058676,3.938054,3.938054,9.877645
50,-9.115818,0.0,0.0,9.115818
51,-9.227646,-2.673403,2.673403,9.607109
52,-9.227646,2.673403,2.673403,9.607109
53,-9.357573,-0.756228,0.756228,9.388081
54,-9.357573,0.756228,0.756228,9.388081
55,-9.757985,-4.428138,4.428138,10.715721
56,-9.757985,4.428138,4.428138,10.715721
57,-9.844702,-1.794037,1.794037,10.006834
58,-9.844702,1.794037,1.794037,10.006834
59,-9.886379,-3.791731,3.791731,10.588566
60,-9.886379,3.791731,3.791731,10.588566
61,-10.376681,-2.942854,2.942854,10.785912
62,-10.376681,2.942854,2.942854,10.785912
63,-10.519974,-0.0,0.0,10.519974
64,-10.67461,-4.917002,4.917002,11.752625
65,-10.67461,4.917002,4.917002,11.752625
66,-10.704429,-0.909933,0.909933,10.743034
67,-10.704429,0.909933,0.909933,10.743034
68,-10.891501,-5.596831,5.596831,12.245379
